iter	Passed	Remaining
787	6163	1658
788	6172	1650
789	6179	1642
790	6188	1635
791	6195	1627
792	6203	1619
793	6211	1611
794	6218	1603
795	6227	1595
796	6234	1588
797	6243	1580
798	6250	1572
799	6259	1564
800	6266	1556
801	6275	1549
802	6282	1541
803	6291	1533
804	6298	1525
805	6308	1518
806	6315	1510
807	6323	1502
808	6331	1494
809	6340	1487
810	6347	1479
811	6355	1471
812	6362	1463
813	6371	1455
814	6379	1448
815	6388	1440
816	6397	1432
817	6405	1425
818	6416	1418
819	6424	1410
820	6433	1402
821	6441	1394
822	6451	1387
823	6458	1379
824	6468	1372
825	6476	1364
826	6485	1356
827	6492	1348
828	6501	1341
829	6509	1333
830	6518	1325
831	6527	1318
832	6534	1310
833	6543	1302
834	6551	1294
835	6557	1286
836	6565	1278
837	6573	1270
838	6582	1263
839	6593	1255
840	6600	1247
841	6608	1240
842	6616	1232
843	6624	1224
844	6632	1216
845	6639	1208
846	6648	1200
847	6656	1193
848	6664	1185
849	6672	1177
850	6680	1169
851	6689	1162
852	6697	1154
853	6705	1146
854	6712	1138
855	6720	1130
856	6727	1122
857	6735	1114
858	6743	1106
859	6751	1099
860	6759	1091
861	6767	1083
862	6775	1075
863	6784	1067
864	6792	1060
865	6801	1052
866	6808	1044
867	6817	1036
868	6824	1028
869	6832	1020
870	6840	1013
871	6848	1005
872	6856	997
873	6864	989
874	6872	981
875	6880	973
876	6889	966
877	6897	958
878	6905	950
879	6913	942
880	6921	934
881	6929	927
882	6937	919
883	6945	911
884	6955	903
885	6963	895
886	6971	888
887	6979	880
888	6986	872
889	6994	864
890	7002	856
891	7010	848
892	7019	841
893	7026	833
894	7035	825
895	7043	817
896	7051	809
897	7059	801
898	7067	794
899	7075	786
900	7083	778
901	7091	770
902	7099	762
903	7107	754
904	7116	747
905	7124	739
906	7132	731
907	7140	723
908	7149	715
909	7156	707
910	7164	699
911	7172	692
912	7181	684
913	7188	676
914	7197	668
915	7205	660
916	7213	652
917	7220	644
918	7229	637
919	7236	629
920	7245	621
921	7253	613
922	7261	605
923	7268	597
924	7278	590
925	7292	582
926	7300	574
927	7309	567
928	7316	559
929	7325	551
930	7333	543
931	7342	535
932	7350	527
933	7358	519
934	7366	512
935	7375	504
936	7382	496
937	7391	488
938	7398	480
939	7407	472
940	7415	464
941	7423	457
942	7438	449
943	7446	441
944	7455	433
945	7463	426
946	7472	418
947	7480	410
948	7488	402
949	7496	394
950	7504	386
951	7512	378
952	7521	370
953	7529	363
954	7537	355
955	7545	347
956	7554	339
957	7562	331
958	7569	323
959	7577	315
960	7587	307
961	7595	300
962	7604	292
963	7613	284
964	7620	276
965	7628	268
966	7635	260
967	7643	252
968	7651	244
969	7666	237
970	7674	229
971	7683	221
972	7691	213
973	7699	205
974	7707	197
975	7716	189
976	7723	181
977	7732	173
978	7740	166
979	7748	158
980	7756	150
981	7765	142
982	7773	134
983	7781	126
984	7789	118
985	7797	110
986	7804	102
987	7812	94
988	7820	86
989	7827	79
990	7835	71
991	7843	63
992	7850	55
993	7859	47
994	7867	39
995	7875	31
996	7882	23
997	7891	15
998	7898	7
999	7907	0
